Slot,Vmag,Vang,VbMag,VbAng,VcMag,VcAng,iaMag,iaAng,ibMag,ibAng,icMag,icAng,Va2Mag,Va2Ang,Vb2Mag,Vb2Ang,Vc2Mag,Vc2Ang,ia2Mag,ia2Ang,ib2Mag,ib2Ang,ic2Mag,ic2Ang,Fault line,Fault phase,Fault type,Fault impedance,Fault distance to from bus,Fault distance to source bus,Distance identified by simple impedance method,Distance identified by Takagi method
1,7199.439453,-0.000828,7199.439453,-120.000832,7199.439453,119.999168,202.805954,-34.684551,202.805954,-154.684555,202.805954,85.315445,7191.381348,-0.012758,7199.281738,-120.00193,7199.638184,119.998634,10719.20606,-63.440067,202.801514,-154.685654,202.811554,85.314911,1,A,LG,0,0.3,0.3,0.300010005,0.300010466
2,7199.439453,-0.000828,7199.439453,-120.000832,7199.439453,119.999168,202.805954,-34.684551,202.805954,-154.684555,202.805954,85.315445,7197.166992,-0.015992,7199.414063,-120.001396,7199.51416,119.999283,4016.854248,-34.53632,202.805252,-154.68512,202.80806,85.315559,1,A,LG,1,0.5,0.5,0.507688873,0.507622247
3,7199.439453,-0.000828,7199.439453,-120.000832,7199.439453,119.999168,202.805954,-34.684551,202.805954,-154.684555,202.805954,85.315445,7199.481445,-0.000729,7198.240723,-120.01062,7199.429199,119.998833,202.807144,-34.684452,2411.039551,-149.256912,202.805664,85.315109,1,B,LG,2,0.7,0.7,0.729313368,0.721134248
4,7199.439453,-0.000828,7199.439453,-120.000832,7199.439453,119.999168,202.805954,-34.684551,202.805954,-154.684555,202.805954,85.315445,7199.557129,-0.001152,7194.650391,-120.007668,7199.345215,119.99852,202.809265,-34.684875,6434.705078,176.561966,202.803299,85.314796,1,B,LG,0,0.5,0.5,0.500009975,0.500010749
5,7199.439453,-0.000828,7199.439453,-120.000832,7199.439453,119.999168,202.805954,-34.684551,202.805954,-154.684555,202.805954,85.315445,7199.372559,-0.001283,7199.522461,-120.00106,7196.052734,119.994514,202.804062,-34.685009,202.808289,-154.684784,4597.192383,56.562843,1,C,LG,0,0.7,0.7,0.70001,0.700011092
6,7199.439453,-0.000828,7199.439453,-120.000832,7199.439453,119.999168,202.805954,-34.684551,202.805954,-154.684555,202.805954,85.315445,7199.438965,-0.001293,7199.490234,-120.000595,7198.268555,119.983604,202.805954,-34.685017,202.807388,-154.684326,3124.474609,103.372734,1,C,LG,2,0.3,0.3,0.329298588,0.308941225
7,7199.439453,-0.000828,7199.439453,-120.000832,7199.439453,119.999168,202.805954,-34.684551,202.805954,-154.684555,202.805954,85.315445,7197.03125,-0.024152,7197.03125,-120.024155,7197.03125,119.975845,5078.397461,-25.759405,5078.397461,-145.759399,5078.397461,94.240593,1,ABC,3LG,1,0.3,0.3,0.30768038,0.30454538
8,7199.439453,-0.000828,7199.439453,-120.000832,7199.439453,119.999168,202.805954,-34.684551,202.805954,-154.684555,202.805954,85.315445,7194.673828,-0.00864,7194.673828,-120.008636,7194.673828,119.991364,6434.726074,-63.439007,6434.726074,176.560989,6434.726074,56.560993,1,ABC,3LG,0,0.5,0.5,0.500009985,0.500010759
9,7199.439453,-0.000828,7199.439453,-120.000832,7199.439453,119.999168,202.805954,-34.684551,202.805954,-154.684555,202.805954,85.315445,7198.660156,-0.00926,7198.660156,-120.009262,7198.660156,119.990738,1890.239258,-23.628086,1890.239258,-143.628082,1890.239258,96.371918,1,ABC,3LG,3,0.7,0.7,0.762904285,0.731189238
10,7199.439453,-0.000828,7199.439453,-120.000832,7199.439453,119.999168,202.805954,-34.684551,202.805954,-154.684555,202.805954,85.315445,7198.115723,-0.002273,7199.412598,-120.000999,7199.471191,119.999069,1893.552002,-63.435875,202.805206,-154.684723,202.806854,85.315346,2,A,LG,0,0.7,1.7,1.70001002,1.700012782
11,7199.439453,-0.000828,7199.439453,-120.000832,7199.439453,119.999168,202.805954,-34.684551,202.805954,-154.684555,202.805954,85.315445,7198.663086,-0.002554,7199.425293,-120.000946,7199.459473,119.99913,1224.508545,-54.996254,202.805557,-154.684677,202.806519,85.315407,2,A,LG,1,1.4,2.4,2.407637564,2.439392417
12,7199.439453,-0.000828,7199.439453,-120.000832,7199.439453,119.999168,202.805954,-34.684551,202.805954,-154.684555,202.805954,85.315445,7199.465332,-0.000824,7198.5625,-120.004898,7199.426758,119.998993,202.806686,-34.684547,1505.72876,-162.970856,202.805603,85.315269,2,B,LG,2,0.6,1.6,1.62920426,1.649903963
13,7199.439453,-0.000828,7199.439453,-120.000832,7199.439453,119.999168,202.805954,-34.684551,202.805954,-154.684555,202.805954,85.315445,7199.461914,-0.000903,7198.492676,-120.001686,7199.419922,119.999054,202.806595,-34.684628,1399.661621,176.564362,202.805405,85.315331,2,B,LG,0,1.3,2.3,2.300010045,0.047646688
14,7199.439453,-0.000828,7199.439453,-120.000832,7199.439453,119.999168,202.805954,-34.684551,202.805954,-154.684555,202.805954,85.315445,7199.408691,-0.001024,7199.476074,-120.000938,7197.922852,119.997429,202.805099,-34.68475,202.806992,-154.684662,2145.963135,56.564007,2,C,LG,0,0.5,1.5,1.500009943,1.500012361
15,7199.439453,-0.000828,7199.439453,-120.000832,7199.439453,119.999168,202.805954,-34.684551,202.805954,-154.684555,202.805954,85.315445,7199.428711,-0.000939,7199.456543,-120.000847,7198.806152,119.997116,202.805649,-34.684662,202.806442,-154.68457,1074.77832,70.962021,2,C,LG,2,1.5,2.5,2.52884701,2.580665195
16,7199.439453,-0.000828,7199.439453,-120.000832,7199.439453,119.999168,202.805954,-34.684551,202.805954,-154.684555,202.805954,85.315445,7198.322754,-0.004509,7198.322754,-120.004509,7198.322754,119.995491,1747.647095,-51.324471,1747.647095,-171.324478,1747.647095,68.675529,2,ABC,3LG,1,0.6,1.6,1.607692334,1.625427708
17,7199.439453,-0.000828,7199.439453,-120.000832,7199.439453,119.999168,202.805954,-34.684551,202.805954,-154.684555,202.805954,85.315445,7198.447266,-0.001964,7198.447266,-120.001961,7198.447266,119.998039,1463.272583,-63.435871,1463.272583,176.564133,1463.272583,56.564129,2,ABC,3LG,0,1.2,2.2,2.200009912,2.200013572
18,7199.439453,-0.000828,7199.439453,-120.000832,7199.439453,119.999168,202.805954,-34.684551,202.805954,-154.684555,202.805954,85.315445,7198.9375,-0.002922,7198.9375,-120.002922,7198.9375,119.997078,927.317993,-45.348038,927.317993,-165.348038,927.317993,74.651962,2,ABC,3LG,3,1.7,2.7,2.761181551,2.828897779
19,7199.439453,-0.000828,7199.439453,-120.000832,7199.439453,119.999168,202.805954,-34.684551,202.805954,-154.684555,202.805954,85.315445,7198.815918,-0.001183,7199.42627,-120.0009,7199.453613,119.999115,975.569458,-63.435436,202.805588,-154.684631,202.806366,85.315392,3,A,LG,0,0.3,3.3,3.30000983,3.300015602
